ds,forecasted_revenue
2025-04-01,49409.143461975786
2025-04-02,35351.64167034243
2025-04-03,54565.14915315653
2025-04-04,33660.474402429885
2025-04-05,43057.0356927292
2025-04-06,50756.96183520757
2025-04-07,53804.31580327255
2025-04-08,47139.2488722292
2025-04-09,34101.80926704581
2025-04-10,54152.063493514914
2025-04-11,34174.40359461154
2025-04-12,44289.274606535924
2025-04-13,52586.27076244189
2025-04-14,56104.285977456304
2025-04-15,49780.8608129382
2025-04-16,36956.64252541842
2025-04-17,57191.02021756812
2025-04-18,36964.62012916539
2025-04-19,47060.605790733054
2025-04-20,55116.61118186548
2025-04-21,58305.74085310103
2025-04-22,51579.34175968437
2025-04-23,38292.55199671506
2025-04-24,58019.75916437532
2025-04-25,37378.889973272766
2025-04-26,46801.300774030155
2025-04-27,54305.37565771029
2025-04-28,56955.16226432366
2025-04-29,49713.87151891546
2025-04-30,35946.985119097124
2025-05-01,55237.53118346002
2025-05-02,34210.24957750589
2025-05-03,43301.41796572723
2025-05-04,50532.44472381706
2025-05-05,52968.5565895574
2025-05-06,45572.403327120046
2025-05-07,31707.31779019423
2025-05-08,50952.785028560895
2025-05-09,29928.834153282936
2025-05-10,39066.115393521955
2025-05-11,46379.75935747925
2025-05-12,49453.794714325806
2025-05-13,41667.73361893021
2025-05-14,27954.665522500673
2025-05-15,47362.386268950286
2025-05-16,26505.287404027178
2025-05-17,35809.15084092285
2025-05-18,43285.14469976059
2025-05-19,45988.8777418579
2025-05-20,38874.323491308445
2025-05-21,25297.343176565275
2025-05-22,44831.35408152142
2025-05-23,24091.8523562243
2025-05-24,33506.550514479146
2025-05-25,41089.226963044835
2025-05-26,43898.608877018625
2025-05-27,36892.10653462843
2025-05-28,23429.135819653646
2025-05-29,43086.58333582677
2025-05-30,22483.131055477894
2025-05-31,32049.20832989833
2025-06-01,39800.67575097112
2025-06-02,42797.56848431829
2025-06-03,35997.722576019645
2025-06-04,22760.02520571811
2025-06-05,42659.84623585401
2025-06-06,22313.369539970765
2025-06-07,32304.273249706366
2025-06-08,40174.09376962279
2025-06-09,43447.90321176558
2025-06-10,36921.27847447434
2025-06-11,23947.138868696995
2025-06-12,44094.698711942176
2025-06-13,23974.014540606055
2025-06-14,34006.20611155609
2025-06-15,42197.44637979482
2025-06-16,45598.037371035294
2025-06-17,39156.38367335465
2025-06-18,26222.591974744042
2025-06-19,46364.241266319885
2025-06-20,26191.029585101944
2025-06-21,36125.05324877772
2025-06-22,44174.810699099144
2025-06-23,47394.24627057781
2025-06-24,40736.64551382963
2025-06-25,27558.11192577556
2025-06-26,47433.1726958446
2025-06-27,26979.22373850648
2025-06-28,36626.57571931172
2025-06-29,44392.200079222086
2025-06-30,47338.498259502776
2025-07-01,40426.914280053345
2025-07-02,27021.129609796706
2025-07-03,46702.397122565715
2025-07-04,26093.733466770624
2025-07-05,35629.740319880264
2025-07-06,42483.12668813503
2025-07-07,46258.50578649724
2025-07-08,39375.56271340288
2025-07-09,26042.552603854423
2025-07-10,45836.47261855584
2025-07-11,25374.35812274695
2025-07-12,35083.22962692301
2025-07-13,42973.829925155784
2025-07-14,46099.477620145
2025-07-15,39409.85736647569
2025-07-16,26254.483034372315
2025-07-17,46198.38499945728
2025-07-18,25846.732596199894
2025-07-19,35615.15123451498
2025-07-20,43503.82803553532
2025-07-21,46556.72115961265
2025-07-22,39715.68228909792
2025-07-23,26324.218061874824
2025-07-24,45943.43204744121
2025-07-25,25176.849771045934
2025-07-26,34440.87910933874
2025-07-27,41738.99432600154
2025-07-28,44120.95511316839
2025-07-29,36536.86820932251
2025-07-30,22340.81750681129
2025-07-31,41106.60638448524
2025-08-01,19452.318917226185
2025-08-02,27810.458342126756
2025-08-03,34201.75886465083
2025-08-04,35693.99155114125
2025-08-05,27255.582568127407
2025-08-06,12258.781399761114
2025-08-07,30294.93519450851
2025-08-08,7998.588669675424
2025-08-09,15817.180722697984
2025-08-10,21784.446238656237
2025-08-11,22978.855518967615
2025-08-12,14376.92021357814
2025-08-13,-643.8873729257709
2025-08-14,17509.962148228733
2025-08-15,-4527.946058868434
2025-08-16,3685.7047011701593
2025-08-17,10177.425435463161
2025-08-18,12015.502921842528
2025-08-19,4163.525716932882
2025-08-20,-10016.403600078771
2025-08-21,9051.78657134329
2025-08-22,-12017.449341199268
2025-08-23,-2801.137369909951
2025-08-24,4706.173543817451
2025-08-25,7551.508561302069
2025-08-26,677.515619273551
2025-08-27,-12573.806483624534
2025-08-28,7354.84211949831
2025-08-29,-12939.062558608683
2025-08-30,-3047.316730915942
